,name,counts
0,Kung Fu Tea,26
1,Vivi Bubble Tea,25
2,Gong Cha,24
3,CoCo Fresh Tea & Juice,10
4,Möge Tee,9
5,TBaar,8
6,Yi Fang Taiwan Fruit Tea,7
7,tigersugar,5
8,Hawa Smoothies & Bubble Tea,4
9,Meet Fresh,4
10,Banhmigos,4
11,Chun Yang Tea,4
12,Teazzi Tea Shop,3
13,Hanco's,3
14,PokéBowl Station,3
15,JOOY Tea Shop,3
16,Mi Tea,3
17,Jupioca,3
18,Tornado Crepe,3
19,Yaya Tea Garden,3
20,Lazy Sundaes,3
21,mr.wish,3
22,Tea and Milk,2
23,Mango Mango Dessert,2
24,Sweet Cats Cafe,2
25,M Tea,2
26,Bake Culture,2
27,TSAôCAA,2
28,Momo Ashi,2
29,Xing Fu Tang,2
30,Hawa Smoothies,2
31,Something Sweet,2
32,Anda Cafe,2
33,Moge Tee,2
34,Biao Sugar,2
35,The Alley,2
36,Song Tea,2
37,Yomie's Rice X Yogurt,2
38,Cool Fresh Juice Bar,2
39,Song's Dumplings Cafe,1
40,The Whale Tea,1
41,The Pretzel Twister,1
42,Cheesecake Diva,1
43,98K,1
44,Juice Up,1
45,Next Move Cafe,1
46,G & J Bubble Tea,1
47,Summer,1
48,ChowTime,1
49,Cafe Toast,1
50,Poke Station,1
51,Crepe Stop,1
52,Sugarcube New York,1
53,Yaya Tea -Downtown Brooklyn,1
54,Off The Bone,1
55,Taiwan Station,1
56,Uptown Poke,1
57,Truedan,1
58,Home,1
59,Fulton Thai,1
60,15 Flavors,1
61,Tbaar Park Slope,1
62,Master Grill,1
63,Moge Tee Brooklyn,1
64,80's Tea,1
65,Me-Do Desserts,1
66,Avenue Coffee House,1
67,Gong Cha - Little Neck,1
68,Möge Tee - Flushing,1
69,Kung Fu Tea Jamaica,1
70,Bubblion,1
71,Coffee Story,1
72,The Yunique Tea,1
73,Solely Tea,1
74,Pop Pot Noodle & Tea Spot,1
75,MOGE TEE SUNNYSIDE,1
76,harmony,1
77,Tea or Me,1
78,Sweetie House,1
79,Newkirk Fruit,1
80,JM Cake Boutique,1
81,TKK Fried Chicken,1
82,Elly's Place - Sunrise Market,1
83,iCha Boba,1
84,YanYan Tea,1
85,Earnest Tea Cafe,1
86,Yummy Machi,1
87,Boba & Bean,1
88,Mars Tea,1
89,Lotus 1,1
90,Pot Pot Noodle & Tea Cafe,1
91,Sweet Adele's,1
92,Max Bakery and Restaurant,1
93,Donut Craft,1
94,Anda Boba Tea,1
95,Rainbow Bakery,1
96,Halal China Kitchen Plus,1
97,Dango Chicken & Tea,1
98,Long Wong Bakery,1
99,Up Wind Milk Tea Bar,1
100,Chatime,1
101,Crepe N Tearia,1
