,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng
0,Q3fmTHT7zilDWtfzLK9lMA,truedan-new-york-3,Truedan,https://s3-media2.fl.yelpcdn.com/bphoto/BmUZXOP4BCivMfrfmZojvw/o.jpg,False,https://www.yelp.com/biz/truedan-new-york-3?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,99,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.7191742, 'longitude': -73.9962197}","['pickup', 'delivery']",$$,"{'address1': '208 Grand St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['208 Grand St', 'New York, NY 10013']}",16465592886.0,(646) 559-2886,1535.2416140137602,40.7191742,-73.9962197,POINT (-73.9962197 40.7191742),94,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032679.7103,26855.0315275
1,7-bx74TooPuZKZDNW4WFcQ,chun-yang-tea-new-york,Chun Yang Tea,https://s3-media1.fl.yelpcdn.com/bphoto/JrGwrZ0JIZzbMp6_4HCefQ/o.jpg,False,https://www.yelp.com/biz/chun-yang-tea-new-york?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,91,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.71617, 'longitude': -73.9971}","['pickup', 'delivery']",$$,"{'address1': '26B Elizabeth St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['26B Elizabeth St', 'New York, NY 10013']}",12124200123.0,(212) 420-0123,1212.8773700403524,40.71617,-73.9971,POINT (-73.9971 40.71617),88,1.0,Manhattan,061,MN27,Chinatown,14501876.9123,20786.2543315
2,3aypSFXLfkAL4dhHVFobKg,lazy-sundaes-new-york-6,Lazy Sundaes,https://s3-media3.fl.yelpcdn.com/bphoto/kEfCYCF1jiqXtX0pWJ-ymw/o.jpg,False,https://www.yelp.com/biz/lazy-sundaes-new-york-6?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,32,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]",4.5,"{'latitude': 40.720597, 'longitude': -73.984539}","['pickup', 'delivery']",$$,"{'address1': '23 Clinton St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['23 Clinton St', 'New York, NY 10002']}",,,1877.0162035075523,40.720597,-73.984539,POINT (-73.984539 40.720597),88,1.0,Manhattan,061,MN27,Chinatown,14501876.9123,20786.2543315
3,bVJQEeRNi34-3XN_F1AZEg,xing-fu-tang-new-york,Xing Fu Tang,https://s3-media2.fl.yelpcdn.com/bphoto/cyFHFEwKCRW738Fa2yW2Pg/o.jpg,False,https://www.yelp.com/biz/xing-fu-tang-new-york?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,91,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.7288, 'longitude': -73.98775}","['pickup', 'delivery']",,"{'address1': '133 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['133 2nd Ave', 'New York, NY 10003']}",,,2656.450426646325,40.7288,-73.98775,POINT (-73.98775 40.7288),139,1.0,Manhattan,061,MN22,East Village,10894242.634,13555.2320945
4,zupVwJAFYkHDwrsQd2ktXA,fiftylan-union-square-new-york-3,FIFTYLAN Union Square,https://s3-media3.fl.yelpcdn.com/bphoto/UIwR20cHxLvD8c4uZxJSLQ/o.jpg,False,https://www.yelp.com/biz/fiftylan-union-square-new-york-3?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,60,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 40.735516, 'longitude': -73.989191}","['pickup', 'delivery']",,"{'address1': '32 Union Square E', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['32 Union Square E', 'New York, NY 10003']}",16467670085.0,(646) 767-0085,3367.9007282264333,40.735516,-73.989191,POINT (-73.989191 40.735516),32,1.0,Manhattan,061,MN21,Gramercy,7526916.19479,12096.8911483
5,DjKAV1M7HWGGyzsfqUrcFw,debutea-new-york,Debutea,https://s3-media2.fl.yelpcdn.com/bphoto/Jwr2TaL2yWto3-kpLpj3sw/o.jpg,False,https://www.yelp.com/biz/debutea-new-york?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,260,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.0,"{'latitude': 40.729188, 'longitude': -73.9993244}","['pickup', 'delivery']",$$,"{'address1': '217 Thompson St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['217 Thompson St', 'New York, NY 10012']}",16467670147.0,(646) 767-0147,2673.9470187963343,40.729188,-73.9993244,POINT (-73.9993244 40.729188),140,1.0,Manhattan,061,MN23,West Village,24970650.3987,28621.6504574
6,FKjAriOhhGZJSlkqrk8zWg,i-milky-沐白-new-york-3,I’Milky 沐白,https://s3-media4.fl.yelpcdn.com/bphoto/D04UPgHKe2QJwaxiujqtHw/o.jpg,False,https://www.yelp.com/biz/i-milky-%E6%B2%90%E7%99%BD-new-york-3?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,260,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"{'latitude': 40.7513413, 'longitude': -73.9864468}","['pickup', 'delivery']",$,"{'address1': '992 6th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['992 6th Ave', 'New York, NY 10018']}",12122396712.0,(212) 239-6712,5160.34008850551,40.7513413,-73.9864468,POINT (-73.9864468 40.7513413),3,1.0,Manhattan,061,MN17,Midtown-Midtown South,30191534.2409,27032.7003748
7,zyiauY6dhZa8WVmLQ83M2A,miss-du-s-tea-shop-new-york,Miss Du’s Tea Shop,https://s3-media2.fl.yelpcdn.com/bphoto/u7dMJKOfqkU7htmGkjkCtg/o.jpg,False,https://www.yelp.com/biz/miss-du-s-tea-shop-new-york?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,57,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.71489, 'longitude': -73.99856}","['pickup', 'delivery']",$$,"{'address1': '33 Pell St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['33 Pell St', 'New York, NY 10013']}",16469233093.0,(646) 923-3093,1105.845615330093,40.71489,-73.99856,POINT (-73.99856 40.71489),88,1.0,Manhattan,061,MN27,Chinatown,14501876.9123,20786.2543315
8,7Dp291PAk4ufpk6iQJpwsw,mi-tea-new-york-4,Mi Tea,https://s3-media1.fl.yelpcdn.com/bphoto/rjpxVM_GyRTzkNjxj6h76Q/o.jpg,False,https://www.yelp.com/biz/mi-tea-new-york-4?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,127,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 40.72965, 'longitude': -74.00092}","['pickup', 'delivery']",$$,"{'address1': '101 MacDougal St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['101 MacDougal St', 'New York, NY 10012']}",12123803998.0,(212) 380-3998,2748.819678550874,40.72965,-74.00092,POINT (-74.00092 40.72965),140,1.0,Manhattan,061,MN23,West Village,24970650.3987,28621.6504574
9,wusuW7VDDWEGKfOBbm2k_g,xing-fu-tang-flushing,Xing Fu Tang,https://s3-media1.fl.yelpcdn.com/bphoto/VXbn9_1W3N37ZmgZUGq1Xw/o.jpg,False,https://www.yelp.com/biz/xing-fu-tang-flushing?adjust_creative=zTtVd4iqmdHJBmAUCFHMFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zTtVd4iqmdHJBmAUCFHMFw,372,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",4.0,"{'latitude': 40.75816, 'longitude': -73.82982}","['pickup', 'delivery']",$,"{'address1': '40-52 Main St', 'address2': None, 'address3': '', 'city': 'Flushing', 'zip_code': '11345', 'country': 'US', 'state': 'NY', 'display_address': ['40-52 Main St', 'Flushing, NY 11345']}",13473686886.0,(347) 368-6886,15042.453771392877,40.75816,-73.82982,POINT (-73.82982 40.75816),155,4.0,Queens,081,QN22,Flushing,37864244.6349,38368.0678904
